Date,V,MA,beta,spread,zscore,coint_pvalue,can_trade,position,asset_1_return,asset_2_return,pair_return,strategy_return,trade,cost,equity_curve
2018-09-27,142.03158569335938,212.46588134765625,0.6026653535978199,13.985760183501668,-0.7935244696500545,,False,0.0,0.005024267276809935,0.0002249833202021545,0.0048881669921497905,0.0,0.0,0.0,1.0
2018-09-28,142.09783935546875,212.7526092529297,0.6010998449693883,14.212278916699873,-0.7485312152910908,,False,0.0,0.000466471325979656,0.0013495244669625706,-0.000346840314091251,-0.0,0.0,0.0,1.0
2018-10-01,142.76055908203125,213.8612518310547,0.600161519354768,14.409265251992792,-0.7066363012702082,,False,0.0,0.004663826906647461,0.005210947033824631,0.0015315274524717818,0.0,0.0,0.0,1.0
2018-10-02,141.70022583007812,212.5232391357422,0.5995355998304974,14.284978176910684,-0.6942587688764157,,False,0.0,-0.007427354297091626,-0.006256452180358085,-0.0036724724507574665,-0.0,0.0,0.0,1.0
2018-10-03,141.41619873046875,213.2495880126953,0.5984981512610074,13.786714547699134,-0.7191126176991955,,False,0.0,-0.002004422349686119,0.003417738596056319,-0.0040534783089365865,-0.0,0.0,0.0,1.0
2018-10-04,138.94517517089844,206.57864379882812,0.596837491390237,15.651295631208512,-0.5126348873334213,,False,0.0,-0.01747341239372402,-0.03128233107521905,0.0012490049219293434,0.0,0.0,0.0,1.0
2018-10-05,137.6197509765625,204.05259704589844,0.596447291623368,15.913132119821924,-0.4604052220850277,,False,0.0,-0.009539188336015969,-0.012228014989727698,-0.0022410505448646747,-0.0,0.0,0.0,1.0
2018-10-08,134.33450317382812,199.26852416992188,0.5970061169958973,15.369975319639948,-0.4936757567078461,,False,0.0,-0.02387192085018286,-0.023445292759005976,-0.009888039482756785,-0.0,0.0,0.0,1.0
2018-10-09,134.73214721679688,200.7037353515625,0.5963359937298277,15.045285750634505,-0.5061594810289827,,False,0.0,0.0029601035740922654,0.007202397807778205,-0.0013397719741891643,-0.0,0.0,0.0,1.0
2018-10-10,128.3037109375,188.197998046875,0.5959925910818271,16.13909844513033,-0.34834535459272875,,False,0.0,-0.047712713053944755,-0.062309439746010886,-0.010555351384258532,-0.0,0.0,0.0,1.0
2018-10-11,126.60903930664062,186.11215209960938,0.5952593048393022,15.824049025680665,-0.35883369616930577,,False,0.0,-0.013208282273962424,-0.011083252579265457,-0.006602745851631661,-0.0,0.0,0.0,1.0
2018-10-12,132.60195922851562,195.40292358398438,0.5944842071836102,16.438007120331108,-0.2449382485326532,,False,0.0,0.047334060464359506,0.04992028397695636,0.017618546926855907,0.0,0.0,0.0,1.0
2018-10-15,129.9226531982422,191.6713409423828,0.5959963869308189,15.687226518396884,-0.31934511703883156,,False,0.0,-0.020205629282265214,-0.01909686187472892,-0.00885284649097208,-0.0,0.0,0.0,1.0
2018-10-16,134.1925048828125,198.80917358398438,0.596192749832156,15.663916991918427,-0.29109034061643324,,False,0.0,0.032864566566810804,0.03723995776576339,0.010669686288959535,0.0,0.0,0.0,1.0
2018-10-17,134.86468505859375,198.42654418945312,0.5966004065369322,16.483328127447464,-0.12313955801849469,,False,0.0,0.005009073914882478,-0.0019246063329648733,0.006156510256877188,0.0,0.0,0.0,1.0
2018-10-18,131.8730010986328,194.82884216308594,0.5969932109763523,15.56150502488721,-0.2460517913772879,,False,0.0,-0.022182856532539708,-0.018131152971813003,-0.011365803298572763,-0.0,0.0,0.0,1.0
2018-10-19,132.62091064453125,194.29299926757812,0.5991177286873767,16.216530223481698,-0.09227480789109067,,False,0.0,0.005671437971894289,-0.0027503263354574647,0.007313364122131865,0.0,0.0,0.0,1.0
2018-10-22,133.15109252929688,195.6708526611328,0.6038352578081684,14.99813276711761,-0.28778942465397583,,False,0.0,0.003997724658871382,0.0070916265575637905,-0.00025099453699531545,-0.0,0.0,0.0,1.0
2018-10-23,131.7120361328125,193.69020080566406,0.6059212952806866,14.35101877746824,-0.3936271787369629,,False,0.0,-0.010807694996327166,-0.010122365332045025,-0.004695453916423293,-0.0,0.0,0.0,1.0
2018-10-24,127.11080932617188,187.24122619628906,0.6090408870472576,13.07324683176779,-0.6611361576922372,,False,0.0,-0.0349339888877046,-0.033295306538741576,-0.014759653622982795,-0.0,0.0,0.0,1.0
2018-10-25,133.0374298095703,195.38380432128906,0.6161922670598784,12.643440478051545,-0.7502292572405449,,False,0.0,0.046625621493687985,0.043487101053610644,0.02014019889288323,0.0,0.0,0.0,1.0
2018-10-26,130.40548706054688,188.9635009765625,0.6260500402063309,12.104879676640863,-0.8737757488770322,,False,0.0,-0.019783475618784907,-0.032859956673630064,0.0004645755794285833,0.0,0.0,0.0,1.0
2018-10-29,127.17706298828125,182.7919464111328,0.6334136222385234,11.394154095975566,-1.0524791147291483,,False,0.0,-0.024756811580839977,-0.032660035051928715,-0.0043099953234398275,-0.0,0.0,0.0,1.0
2018-10-30,125.69063568115234,179.62489318847656,0.6369681521199522,11.275299392144646,-1.0828415183174867,,False,0.0,-0.011687856852503953,-0.01732599977645055,-0.0007133325751985629,-0.0,0.0,0.0,1.0
2018-10-31,130.50961303710938,189.13572692871094,0.6295380921818766,11.441468342976307,-1.0259173535309098,,False,0.0,0.038339987142571585,0.05294830561293562,0.00461360275841749,0.0,0.0,0.0,1.0
2018-11-01,133.33091735839844,191.08763122558594,0.6268279433582875,13.551850476057524,-0.3407052858350954,,False,0.0,0.021617597781757647,0.010320124751526771,0.01512068613460252,0.0,0.0,0.0,1.0
2018-11-02,132.3369140625,189.18357849121094,0.6238701321029702,14.310929957475608,-0.04947930000847108,,False,0.0,-0.007455159805332512,-0.009964290844796775,-0.001209263868064736,-0.0,0.0,0.0,1.0
2018-11-05,132.3557891845703,189.43235778808594,0.620564956717059,14.800706272996322,0.16488823323792676,,False,0.0,0.00014262930493758041,0.001315015282294052,-0.0006777694529446343,-0.0,0.0,0.0,1.0
2018-11-06,133.29302978515625,190.55177307128906,0.6170267392592074,15.717490586918316,0.5568272030749323,,False,0.0,0.007081221050927677,0.005909313996162124,0.0034141078666718176,0.0,0.0,0.0,1.0
2018-11-07,137.07058715820312,199.24940490722656,0.6148530149338023,14.561489827228925,0.1621806758888927,,False,0.0,0.02834024689164627,0.04564445502526793,0.00017639764214166104,0.0,0.0,0.0,1.0
2018-11-08,137.49664306640625,199.8425750732422,0.6144920189124556,14.694975644985675,0.2636307908703821,,False,0.0,0.0031082956383003957,0.0029770235263277822,0.001277863747608899,0.0,0.0,0.0,1.0
2018-11-09,136.265869140625,196.74249267578125,0.61496147464263,15.27681571985974,0.5913293305670556,,False,0.0,-0.008951301634228415,-0.015512622354494576,0.0005810809950114494,0.0,0.0,0.0,1.0
2018-11-12,132.280029296875,190.542236328125,0.6145747697934094,15.177578269596168,0.6039802860248142,,False,0.0,-0.029250463589210685,-0.03151457655806911,-0.009870213116322447,-0.0,0.0,0.0,1.0
2018-11-13,132.280029296875,189.6141357421875,0.6117343044485689,16.286557855011395,1.231812809339423,,False,0.0,0.0,-0.004870839157882334,0.00299349485415626,0.0,0.0,0.0,1.0
2018-11-14,132.0623321533203,189.0496063232422,0.6075347743486124,17.208122235035376,1.736771311380587,,False,0.0,-0.0016457294779252951,-0.002977253867364027,0.00017555884579344974,0.0,0.0,0.0,1.0
2018-11-15,134.52825927734375,192.0444793701172,0.6026145932382498,18.799453458069124,2.551972334042835,,False,0.0,0.018672448712783396,0.015841731200192388,0.009048046122783142,0.0,0.0,0.0,1.0
2018-11-16,132.953857421875,190.4465789794922,0.5991115975178889,18.85510324765464,2.4909557646794322,,False,0.0,-0.011703131103651288,-0.008320470319510997,-0.006689094266508237,-0.0,0.0,0.0,1.0
2018-11-19,127.813232421875,181.10800170898438,0.5953840489325561,19.984417070295592,2.944638432538297,,False,0.0,-0.038664730002442305,-0.049035153692697286,-0.009287200739075224,-0.0,0.0,0.0,1.0
2018-11-20,126.494873046875,178.9838409423828,0.5864916623200358,21.52234264415202,3.4354245227555253,,False,0.0,-0.010314733068079174,-0.011728696394181393,-0.003331654320210785,-0.0,0.0,0.0,1.0
