lookback_beta,lookback_zscore,entry,exit,train_return,train_sharpe,train_drawdown,train_trades,test_return,test_sharpe,test_drawdown,test_trades,full_return,full_sharpe,full_drawdown,full_trades
126,30,2.0,0.0,-0.17886073769108624,-0.4576629810503766,-0.18529425002428002,31.0,-0.025885198460985803,-0.32821710452695424,-0.06354213736528647,7.0,-0.20011609046005996,-0.37551248496040496,-0.20217547583753148,38.0
126,30,2.0,0.5,-0.03305868510201393,-0.13919821612591915,-0.09064903884963205,28.0,-0.039807417275083745,-0.6089871657651965,-0.04657955482937237,2.0,-0.07155012150467632,-0.23120097995327543,-0.11889196965173576,30.0
126,30,2.0,1.0,-0.019620470374604237,-0.09396463251937348,-0.1060044992075968,24.0,-0.039807417275083745,-0.6089871657651965,-0.04657955482937237,2.0,-0.058646847398352575,-0.21992739913398812,-0.14159215114968737,26.0
126,30,2.5,0.0,0.05629916329543194,0.18976822419287262,-0.16909336446625,31.0,-0.08731091249110834,-1.179396077483119,-0.0877525944505323,5.0,-0.035927280515487214,-0.030897243728787573,-0.16909336446625,36.0
126,30,2.5,0.5,0.037827818798511936,0.31241277469255774,-0.06986197871284505,18.0,-0.001121497802372362,-0.06782283808030516,-0.006513380239182576,2.0,0.03666389718048846,0.22157344230309542,-0.06986197871284505,20.0
126,30,2.5,1.0,0.05475907379589606,0.8268722787278171,-0.016234642620567508,16.0,-0.001121497802372362,-0.06782283808030516,-0.006513380239182576,2.0,0.05357616381260155,0.5745203886633123,-0.016234642620567508,18.0
126,60,2.0,0.0,-0.19013293939400366,-0.4929159379919138,-0.24524920577798381,29.0,0.05283204406468389,0.706663186992081,-0.024188791828456013,7.0,-0.14734600716153157,-0.26006085459359074,-0.24524920577798381,36.0
126,60,2.0,0.5,-0.022155093476275534,-0.23077844126067096,-0.04654556100160767,17.0,0.0187520159505421,0.48902652505385835,-0.015738425263974065,5.0,-0.0038185301919864134,-0.01818244374829705,-0.04654556100160767,22.0
126,60,2.0,1.0,-0.0004239818216994484,0.004895691211071828,-0.03478795467816587,16.0,-0.0058631819269332475,-0.337563697197382,-0.011229469055309194,4.0,-0.0062846778660784475,-0.04831548165803836,-0.040447168497955266,20.0
126,60,2.5,0.0,-0.18158182956964664,-0.4659764000253108,-0.23182505778489237,27.0,0.052944246560623576,0.6885618503312612,-0.01970593513705543,5.0,-0.13825129616468768,-0.23988588638541866,-0.23182505778489237,32.0
126,60,2.5,0.5,-0.015928314687674416,-0.1711922408862399,-0.04654556100160756,15.0,0.019895826879035905,0.567951882922784,-0.009285525181015664,3.0,0.0036506051998606015,0.03691219385805344,-0.04654556100160756,18.0
126,60,2.5,1.0,0.0059411776284978846,0.08723469060324728,-0.023494400297046414,14.0,-0.004747007883470045,-0.708708697012993,-0.004747007883470045,2.0,0.0011659669279884266,0.018401428706713012,-0.02812988007708883,16.0
