lookback_beta,lookback_zscore,entry,exit,train_return,train_sharpe,train_drawdown,train_trades,test_return,test_sharpe,test_drawdown,test_trades,full_return,full_sharpe,full_drawdown,full_trades
126,30,2.0,0.0,-0.17886080271007165,-0.4576645891166105,-0.18529409356196813,31.0,-0.025884638655837122,-0.3282103987129915,-0.06354194116021217,7.0,-0.20011569411806585,-0.37551269753898525,-0.2021748119718656,38.0
126,30,2.0,0.5,-0.033059829029505106,-0.13920478311158976,-0.09064905853091898,28.0,-0.03980708410903555,-0.6089841328063038,-0.04657939109312126,2.0,-0.07155089774373313,-0.23120490157247545,-0.11889164182974354,30.0
126,30,2.0,1.0,-0.019621630497481557,-0.09397196732043611,-0.10600508848993884,24.0,-0.03980708410903555,-0.6089841328063038,-0.04657939109312126,2.0,-0.05864763471094747,-0.21993153621278397,-0.1415924191254696,26.0
126,30,2.5,0.0,0.05629964783565855,0.18976963922612025,-0.16909246390332966,31.0,-0.0873107358807893,-1.1793960506673895,-0.08775247646084461,5.0,-0.035926651727491876,-0.030896304087739884,-0.16909246390332966,36.0
126,30,2.5,0.5,0.03782746732665543,0.31241054140015745,-0.06986168596836018,18.0,-0.0011215886554334364,-0.06782834355120163,-0.006513443921289719,2.0,0.03666345181300468,0.22157125276413278,-0.06986168596836018,20.0
126,30,2.5,1.0,0.054758886909614723,0.8268631630518456,-0.01623474875699238,16.0,-0.0011215886554334364,-0.06782834355120163,-0.006513443921289719,2.0,0.05357588130783908,0.5745132514454088,-0.01623474875699238,18.0
126,60,2.0,0.0,-0.19013045101963133,-0.49290955840144324,-0.2452484434125961,29.0,0.05283173777625483,0.7066606423127119,-0.024188817508806526,7.0,-0.147343635374927,-0.26005651903196314,-0.2452484434125961,36.0
126,60,2.0,0.5,-0.022154570723239897,-0.23077383231263437,-0.046544933969271396,17.0,0.018752221629573906,0.48903246256984967,-0.01573829428844875,5.0,-0.0038177965139765124,-0.01817726046055052,-0.046544933969271396,22.0
126,60,2.0,1.0,-0.0004233877429121735,0.004902946913974929,-0.034787699884450296,16.0,-0.0058632071221460524,-0.3375651796920766,-0.01122946756063592,4.0,-0.006284112455028579,-0.04831068279055823,-0.04044693951687073,20.0
126,60,2.5,0.0,-0.18158085932780132,-0.46597476302470775,-0.23182484472785903,27.0,0.05294413175747281,0.6885618565144271,-0.019705809285018083,5.0,-0.13825036851121453,-0.2398846617310642,-0.23182484472785903,32.0
126,60,2.5,0.5,-0.015928720866829504,-0.17119740032173256,-0.04654493396927162,15.0,0.019896125553715338,0.5679615449598802,-0.009285329842378287,3.0,0.0036504848566094594,0.03691132169347342,-0.04654493396927162,18.0
126,60,2.5,1.0,0.005940822511150801,0.08723015354791153,-0.023494511666545814,14.0,-0.004746942583662372,-0.7087104806806267,-0.004746942583662372,2.0,0.0011656791841283543,0.018398646283587932,-0.028129927152295786,16.0
